id,mild_injuries,serious_injuries,victims,vehicles_involved,longitude,latitude,date
2017S001918,1,0,1,2,2.1449849999999997,41.392860999999996,2017-03-09 07:00:00
2017S001949,2,0,2,1,2.14325,41.392009,2017-03-09 19:00:00
2017S007930,1,0,1,2,2.142618,41.385495,2017-09-25 16:00:00
2017S005129,1,0,1,2,2.137055,41.391264,2017-06-12 09:00:00
2017S004403,4,0,4,2,2.1326080000000003,41.389624,2017-05-18 10:00:00
2017S009218,1,0,1,1,2.1326080000000003,41.389624,2017-11-08 09:00:00
2017S010712,0,0,0,4,2.135571,41.388647999999996,2017-12-27 20:00:00
2017S005876,2,0,2,2,2.128211,41.388399,2017-07-05 20:00:00
2017S004884,0,0,0,2,2.130719,41.392664,2017-06-02 10:00:00
2017S008016,0,0,0,3,2.134903,41.389795,2017-09-28 20:00:00
2017S001210,1,0,1,3,2.135191,41.386879,2017-02-13 21:00:00
2017S010035,1,0,1,2,2.138895,41.389044,2017-12-01 09:00:00
2017S000308,1,0,1,2,2.137125,41.390772,2017-01-12 21:00:00
2017S003582,1,0,1,2,2.1326080000000003,41.389624,2017-04-21 15:00:00
2017S003700,1,0,1,2,2.1436450000000002,41.390505,2017-04-25 20:00:00
2017S009742,1,0,1,1,2.132144,41.384848,2017-11-23 15:00:00
2017S001256,2,0,2,2,2.136365,41.391619,2017-02-14 18:00:00
2017S000707,1,0,1,2,2.135784,41.391028999999996,2017-01-27 01:00:00
2017S007366,1,0,1,2,2.128211,41.388399,2017-09-03 19:00:00
2017S001064,3,0,3,4,2.1308700000000003,41.388771000000006,2017-02-08 18:00:00
2017S003250,1,0,1,2,2.136291,41.387507,2017-04-08 15:00:00
2017S006037,1,0,1,2,2.141859,41.391659999999995,2017-07-11 19:00:00
2017S006457,1,0,1,2,2.135137,41.398225,2017-07-24 13:00:00
2017S008761,2,0,2,2,2.134702,41.398784,2017-10-23 15:00:00
2017S008990,0,0,0,2,2.13414,41.39934,2017-10-31 04:00:00
2017S001259,0,1,1,2,2.118132,41.389390999999996,2017-02-15 07:00:00
2017S007396,1,0,1,3,2.1428540000000003,41.398992,2017-09-05 10:00:00
